,title,price,link
11,Moduł Komfortu VW Golf V 1K0959433CR,50 zł,https://www.otomoto.pl/oferta/modul-komfortu-vw-golf-v-1k0959433cr-ID6EzIL7.html?
12,vw GOLF 3 GOLF III pompka pompa zamka centralnego  1H0.962.257,50 zł,https://www.olx.pl/d/oferta/vw-golf-3-golf-iii-pompka-pompa-zamka-centralnego-1h0-962-257-CID5-IDMRdio.html#dba364ef61
13,bagażnik dachowy  vw golf 5 6 V VI oryginalny  bdb stan,375 zł,https://www.olx.pl/d/oferta/bagaznik-dachowy-vw-golf-5-6-v-vi-oryginalny-bdb-stan-CID5-IDJywnu.html#dba364ef61
14,Volkswagen Golf 7 GTI,64 500 zł,https://www.olx.pl/d/oferta/volkswagen-golf-7-gti-CID5-IDOuwUS.html#dba364ef61
15,TARCZA HAMULCOWA TYL /VW GOLF VI 2.0 TDI 110KM 08-12,55 zł,https://www.otomoto.pl/oferta/tarcza-hamulcowa-tyl-vw-golf-vi-2-0-tdi-110km-08-12-ID6EB2HL.html?
16,TARCZA HAMULCOWA TYL /VW GOLF V 1.4 16V 75KM 03-2006,55 zł,https://www.otomoto.pl/oferta/tarcza-hamulcowa-tyl-vw-golf-v-1-4-16v-75km-03-2006-ID6EB2HJ.html?
17,Dekielek alufelgi VW Golf GTI 1H0.601.149D pojedyncza sztuka,35 zł,https://www.olx.pl/d/oferta/dekielek-alufelgi-vw-golf-gti-1h0-601-149d-pojedyncza-sztuka-CID5-IDGSUXP.html#dba364ef61
18,Kołpaki dekielki   VW Garbus  Golf T1 T2 R13 Karmann,450 zł,https://www.olx.pl/d/oferta/kolpaki-dekielki-vw-garbus-golf-t1-t2-r13-karmann-CID5-IDLlsRl.html#dba364ef61
19,VW GOLF 2.0TDI 3Q0816803B dtsb kompresor klimatyza,650 zł,https://www.otomoto.pl/oferta/vw-golf-2-0tdi-3q0816803b-dtsb-kompresor-klimatyza-ID6EBysy.html?
20,VW GOLF 1.6TDI 5Q0820803F GE447150-6034 CXXB KOMPR,399 zł,https://www.otomoto.pl/oferta/vw-golf-1-6tdi-5q0820803f-ge447150-6034-cxxb-kompr-ID6EBybV.html?
21,SPRZEGLO DWUMAS VW GOLF VII 2.0 GTI CHHA,1 500 zł,https://www.otomoto.pl/oferta/sprzeglo-dwumas-vw-golf-vii-2-0-gti-chha-ID6EB0rr.html?
22,SPRZEGLO KOLO ZAMACHOWE VW GOLF 7 VII 1.6 TDI CXXB,689 zł,https://www.otomoto.pl/oferta/sprzeglo-kolo-zamachowe-vw-golf-7-vii-1-6-tdi-cxxb-ID6EB0ro.html?
23,SPRZEGLO DWUMAS CRVA VW GOLF VII 2.0 TDI 12- 81 kW,900 zł,https://www.otomoto.pl/oferta/sprzeglo-dwumas-crva-vw-golf-vii-2-0-tdi-12-81-kw-ID6EB0qJ.html?
24,LISTWA WTRYSKOWA VW GOLF 2.0 TDI 03L130089P,380 zł,https://www.otomoto.pl/oferta/listwa-wtryskowa-vw-golf-2-0-tdi-03l130089p-ID6EB0nD.html?
25,"Oryginalne Felgi 17"" VW Volkswagen Golf Touran Passat",2 199 zł,https://www.olx.pl/d/oferta/oryginalne-felgi-17-vw-volkswagen-golf-touran-passat-CID5-IDETctu.html#dba364ef61
26,"NOWA Oryginalna Felga VW 17"" Volkswagen Touran Scirocco Golf Passat",599 zł,https://www.olx.pl/d/oferta/nowa-oryginalna-felga-vw-17-volkswagen-touran-scirocco-golf-passat-CID5-IDHydTb.html#dba364ef61
27,"Oryginalna Felga VW 17"" Volkswagen Scirocco Golf Passat",499 zł,https://www.olx.pl/d/oferta/oryginalna-felga-vw-17-volkswagen-scirocco-golf-passat-CID5-IDHyaE0.html#dba364ef61
28,VW GOLF ALTEA OCTAVIA 1.9 2.0TDI 1K0820859F SKOMpresor klimatyzacji air con pump,350 zł,https://www.otomoto.pl/oferta/vw-golf-altea-octavia-1-9-2-0tdi-1k0820859f-skompresor-klimatyzacji-air-con-pump-ID6DWlNQ.html?
29,Sprzedam Nowe Zawieszenie AST 4100 sportline VW golf 4 audi A3 / S3 8l,1 899 zł,https://www.olx.pl/d/oferta/sprzedam-nowe-zawieszenie-ast-4100-sportline-vw-golf-4-audi-a3-s3-8l-CID5-IDNdqWN.html#dba364ef61
30,"Oryginalne Felgi 16"" VW Audi Skoda Seat Golf Passat Volkswagen",349 zł,https://www.olx.pl/d/oferta/oryginalne-felgi-16-vw-audi-skoda-seat-golf-passat-volkswagen-CID5-IDGx9Bj.html#dba364ef61
31,"Oryginalne Felgi VW 17"" Volkswagen Golf Touran Passat Tiguan T-Roc",2 699 zł,https://www.olx.pl/d/oferta/oryginalne-felgi-vw-17-volkswagen-golf-touran-passat-tiguan-t-roc-CID5-IDOHVo4.html#dba364ef61
32,VW Golf II czesci,500 zł,https://www.olx.pl/d/oferta/vw-golf-ii-czesci-CID5-IDOHTal.html#dba364ef61
33,Tuleja wahacza Lemforder VW Golf Jetta scirocco touran,50 zł,https://www.olx.pl/d/oferta/tuleja-wahacza-lemforder-vw-golf-jetta-scirocco-touran-CID5-IDOHMKw.html#dba364ef61
34,vw golf 4 IV na części L041 LB7Z AEH ERQ DSB,100 zł,https://www.olx.pl/d/oferta/vw-golf-4-iv-na-czesci-l041-lb7z-aeh-erq-dsb-CID5-IDBadL8.html#dba364ef61
35,Serwo Pompa Hamulcowa VW Golf V 1K1614105AJ,70 zł,https://www.otomoto.pl/oferta/serwo-pompa-hamulcowa-vw-golf-v-1k1614105aj-ID6EzA0S.html?
36,VW Golf V Moduł kierownicy 1K0.953.549BC,45 zł,https://www.olx.pl/d/oferta/vw-golf-v-modul-kierownicy-1k0-953-549bc-CID5-IDKDCrP.html#dba364ef61
37,VW GOLF SKODA AUDI TAŚMA zwijak airbag 1j0959654j,250 zł,https://www.otomoto.pl/oferta/vw-golf-skoda-audi-tasma-zwijak-airbag-1j0959654j-ID6DmRwC.html?
38,Turbina Vw Passat golf turan 1.9 Tdi 105 Km Bjb Bkc Bxe Turbosprężarka,300 zł,https://www.olx.pl/d/oferta/turbina-vw-passat-golf-turan-1-9-tdi-105-km-bjb-bkc-bxe-turbosprezarka-CID5-IDBTiWZ.html#dba364ef61
39,Komplet dywanikow VW Golf 6,20 zł,https://www.olx.pl/d/oferta/komplet-dywanikow-vw-golf-6-CID5-IDzoGac.html#dba364ef61
40,"Dekielek alufelgi BBS VW Golf 09.23.457 , 1H0.601.149 N . Oryginal",35 zł,https://www.olx.pl/d/oferta/dekielek-alufelgi-bbs-vw-golf-09-23-457-1h0-601-149-n-oryginal-CID5-IDJapFU.html#dba364ef61
41,Obudowa filtra powietrza 2.0tdi audi vw seat a3 golf passat b7 tiguan,250 zł,https://www.olx.pl/d/oferta/obudowa-filtra-powietrza-2-0tdi-audi-vw-seat-a3-golf-passat-b7-tiguan-CID5-IDMWpEt.html#dba364ef61
